date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2008-07-01,27,22,0.0,14.5,6,6,4,04:04 AM,08:20 PM,06:21 AM,09:29 PM,17,26,26,25,19,8,63,0.0,1015,27,10,248,12
2008-07-02,25,19,0.0,14.5,6,6,0,05:07 AM,09:23 PM,06:22 AM,09:29 PM,20,26,26,24,11,6,78,0.0,1012,25,10,218,9
2008-07-03,25,20,0.0,14.5,6,6,0,06:21 AM,10:12 PM,06:23 AM,09:28 PM,18,24,24,23,14,22,73,0.0,1012,25,10,164,11
2008-07-04,25,19,0.0,14.5,6,6,3,07:41 AM,10:51 PM,06:23 AM,09:28 PM,16,22,23,22,22,5,68,0.0,1017,25,10,186,16
2008-07-05,27,20,0.0,14.5,6,6,10,08:59 AM,11:21 PM,06:24 AM,09:28 PM,19,26,26,24,18,5,74,0.0,1014,27,10,232,14
2008-07-06,27,20,0.0,14.5,6,6,17,10:14 AM,11:47 PM,06:24 AM,09:28 PM,18,26,26,24,12,10,73,0.1,1011,27,10,107,9
2008-07-07,24,19,0.0,14.5,6,6,25,11:24 AM,No moonset,06:25 AM,09:27 PM,17,21,22,21,15,43,77,0.7,1014,24,8,121,12
2008-07-08,23,17,0.0,14.5,6,6,32,12:31 PM,12:09 AM,06:26 AM,09:27 PM,17,21,22,21,14,23,76,0.0,1019,23,10,121,10
2008-07-09,25,17,0.0,14.5,6,6,39,01:36 PM,12:30 AM,06:26 AM,09:27 PM,18,22,24,22,12,12,79,0.0,1019,25,10,145,10
2008-07-10,25,20,0.0,14.5,6,6,47,02:39 PM,12:51 AM,06:27 AM,09:26 PM,20,26,26,24,16,17,76,0.0,1015,25,10,232,12
2008-07-11,26,19,0.0,14.5,6,6,54,03:43 PM,01:14 AM,06:28 AM,09:26 PM,21,27,27,25,12,7,78,0.0,1012,26,9,198,9
2008-07-12,24,20,0.0,13.5,6,6,61,04:46 PM,01:40 AM,06:28 AM,09:25 PM,19,22,23,22,17,35,81,5.7,1011,24,10,73,13
2008-07-13,23,18,0.0,14.5,5,5,68,05:49 PM,02:09 AM,06:29 AM,09:25 PM,15,21,21,21,12,27,73,0.2,1015,23,10,232,9
2008-07-14,23,17,0.0,14.5,5,5,76,06:48 PM,02:45 AM,06:30 AM,09:24 PM,15,20,22,20,13,30,70,0.2,1022,23,10,123,10
2008-07-15,24,18,0.0,14.5,6,6,83,07:42 PM,03:29 AM,06:31 AM,09:23 PM,16,22,23,22,13,5,67,0.0,1025,24,10,235,9
2008-07-16,25,19,0.0,14.5,6,6,90,08:29 PM,04:20 AM,06:32 AM,09:23 PM,15,24,24,23,17,22,63,0.1,1022,25,10,150,11
2008-07-17,24,20,0.0,13.5,6,6,97,09:09 PM,05:18 AM,06:32 AM,09:22 PM,15,22,23,22,8,44,65,1.0,1017,24,10,187,5
2008-07-18,25,18,0.0,14.5,6,6,100,09:43 PM,06:21 AM,06:33 AM,09:21 PM,17,24,24,23,13,11,70,0.0,1016,25,10,174,9
2008-07-19,27,19,0.0,14.5,6,6,88,10:11 PM,07:27 AM,06:34 AM,09:21 PM,20,26,26,24,20,2,75,0.0,1017,27,10,242,14
2008-07-20,27,21,0.0,14.5,6,6,81,10:35 PM,08:33 AM,06:35 AM,09:20 PM,19,26,26,25,16,15,72,0.1,1016,27,10,206,11
2008-07-21,23,20,0.0,14.5,6,6,73,10:58 PM,09:41 AM,06:36 AM,09:19 PM,19,22,25,22,13,30,82,0.9,1018,23,9,170,9
2008-07-22,24,18,0.0,14.5,6,6,66,11:20 PM,10:47 AM,06:37 AM,09:18 PM,16,23,24,23,13,5,67,0.0,1021,24,10,155,10
2008-07-23,25,18,0.0,14.5,6,6,59,11:42 PM,11:55 AM,06:38 AM,09:17 PM,19,26,26,24,15,3,74,0.0,1018,25,10,249,12
2008-07-24,26,19,0.0,14.5,6,6,52,No moonrise,01:04 PM,06:39 AM,09:16 PM,19,26,26,24,14,5,74,0.2,1013,26,10,228,11
2008-07-25,26,21,0.0,14.5,6,6,44,12:06 AM,02:16 PM,06:40 AM,09:15 PM,20,26,26,24,11,5,75,0.0,1011,26,10,109,8
2008-07-26,28,20,0.0,14.5,6,6,37,12:34 AM,03:32 PM,06:41 AM,09:14 PM,19,26,26,24,13,13,74,0.0,1013,28,10,200,9
2008-07-27,26,21,0.0,14.5,6,6,30,01:09 AM,04:48 PM,06:41 AM,09:13 PM,20,26,26,25,13,7,75,0.0,1015,26,10,205,10
2008-07-28,27,20,0.0,14.5,6,6,23,01:53 AM,06:02 PM,06:42 AM,09:12 PM,20,27,27,25,9,9,76,0.1,1014,27,10,195,7
2008-07-29,26,21,0.0,14.5,6,6,15,02:49 AM,07:08 PM,06:43 AM,09:11 PM,21,27,27,25,11,7,79,0.0,1016,26,10,130,9
2008-07-30,28,20,0.0,14.5,6,6,8,03:57 AM,08:02 PM,06:44 AM,09:10 PM,20,28,28,26,9,3,68,0.0,1017,28,10,93,7
2008-07-31,29,20,0.0,14.5,6,6,4,05:14 AM,08:45 PM,06:45 AM,09:09 PM,20,29,29,27,8,4,67,0.0,1016,29,10,135,6
2008-08-01,27,21,0.0,14.5,6,6,0,06:32 AM,09:19 PM,06:46 AM,09:08 PM,20,27,27,25,14,7,73,0.0,1016,27,10,78,11
2008-08-02,27,21,0.0,14.5,6,6,0,07:50 AM,09:47 PM,06:47 AM,09:07 PM,20,27,27,25,12,6,74,0.0,1020,27,10,196,10
2008-08-03,28,21,0.0,14.5,6,6,6,09:03 AM,10:10 PM,06:48 AM,09:06 PM,21,28,28,26,16,1,73,0.0,1019,28,10,259,13
2008-08-04,30,22,0.0,14.5,7,7,14,10:12 AM,10:32 PM,06:49 AM,09:05 PM,19,28,28,26,21,7,65,0.0,1016,30,10,240,14
2008-08-05,29,22,0.0,14.5,7,7,21,11:20 AM,10:54 PM,06:50 AM,09:03 PM,20,29,29,27,11,7,68,0.1,1015,29,10,196,8
2008-08-06,30,22,0.0,14.5,7,7,28,12:25 PM,11:16 PM,06:51 AM,09:02 PM,18,29,29,28,14,5,58,0.0,1013,30,10,253,10
2008-08-07,28,21,0.0,14.5,6,6,35,01:30 PM,11:41 PM,06:52 AM,09:01 PM,19,28,28,26,10,9,65,0.1,1010,28,10,201,7
2008-08-08,27,21,0.0,14.5,6,6,43,02:34 PM,No moonset,06:53 AM,09:00 PM,18,26,26,24,16,16,70,0.0,1015,27,10,198,12
2008-08-09,27,21,0.0,11.6,6,6,50,03:38 PM,12:09 AM,06:54 AM,08:58 PM,18,26,26,24,14,27,70,0.0,1016,27,10,196,11
2008-08-10,28,20,0.0,11.6,6,6,57,04:38 PM,12:43 AM,06:55 AM,08:57 PM,21,27,27,25,13,8,80,0.0,1013,28,10,183,10
2008-08-11,27,21,0.0,11.6,6,6,65,05:35 PM,01:23 AM,06:56 AM,08:56 PM,21,27,27,24,17,23,82,0.1,1008,27,10,205,12
2008-08-12,30,22,0.0,11.6,7,7,72,06:24 PM,02:11 AM,06:57 AM,08:54 PM,20,28,28,27,21,14,69,0.0,1005,30,10,215,14
2008-08-13,25,21,0.0,10.4,6,6,79,07:07 PM,03:07 AM,06:59 AM,08:53 PM,16,25,25,24,19,40,64,0.0,1014,25,10,82,15
2008-08-14,25,20,0.0,11.6,6,6,86,07:43 PM,04:09 AM,07:00 AM,08:51 PM,15,25,25,23,13,20,63,0.0,1014,25,10,127,9
2008-08-15,26,19,0.0,11.6,6,6,94,08:13 PM,05:15 AM,07:01 AM,08:50 PM,13,23,24,23,17,6,56,0.2,1015,26,10,242,13
2008-08-16,25,18,0.0,11.6,6,6,100,08:39 PM,06:21 AM,07:02 AM,08:49 PM,15,22,23,22,20,8,66,0.0,1012,25,10,196,15
2008-08-17,26,20,0.0,11.6,6,6,100,09:03 PM,07:29 AM,07:03 AM,08:47 PM,19,26,26,24,11,13,74,0.1,1012,26,10,127,9
2008-08-18,27,20,0.0,11.6,6,6,85,09:25 PM,08:37 AM,07:04 AM,08:46 PM,20,27,27,25,11,3,76,0.0,1015,27,10,129,9
2008-08-19,27,20,0.0,11.6,6,6,77,09:47 PM,09:46 AM,07:05 AM,08:44 PM,19,26,26,24,12,17,74,0.2,1014,27,10,106,9
2008-08-20,25,19,0.0,11.6,6,6,70,10:11 PM,10:55 AM,07:06 AM,08:43 PM,17,24,24,23,14,13,72,0.0,1018,25,10,122,11
2008-08-21,26,18,0.0,11.6,6,6,63,10:38 PM,12:07 PM,07:07 AM,08:41 PM,19,23,24,23,13,8,80,0.0,1019,26,10,236,10
2008-08-22,27,20,0.0,11.6,6,6,55,11:10 PM,01:22 PM,07:08 AM,08:40 PM,20,26,26,23,17,32,82,1.8,1016,27,10,181,13
2008-08-23,24,20,0.0,11.6,6,6,48,11:51 PM,02:37 PM,07:09 AM,08:38 PM,17,22,23,22,12,44,76,2.0,1017,24,9,132,10
2008-08-24,26,20,0.0,11.6,6,6,41,No moonrise,03:51 PM,07:10 AM,08:36 PM,19,25,25,23,10,32,80,1.3,1015,26,10,179,8
2008-08-25,24,20,0.0,11.6,6,6,34,12:41 AM,04:58 PM,07:11 AM,08:35 PM,19,25,25,23,14,34,82,3.8,1018,24,9,134,10
2008-08-26,24,20,0.0,10.4,5,5,26,01:43 AM,05:55 PM,07:12 AM,08:33 PM,18,25,25,23,12,38,76,0.0,1021,24,10,134,9
2008-08-27,26,20,0.0,11.6,6,6,19,02:54 AM,06:40 PM,07:13 AM,08:32 PM,17,25,25,23,12,10,69,0.0,1020,26,10,139,9
2008-08-28,26,21,0.0,11.6,6,6,12,04:11 AM,07:17 PM,07:14 AM,08:30 PM,17,26,26,24,12,11,64,0.0,1019,26,10,191,8
2008-08-29,27,21,0.0,11.6,6,6,5,05:27 AM,07:47 PM,07:15 AM,08:28 PM,17,27,27,25,13,7,62,0.0,1017,27,10,236,9
2008-08-30,27,20,0.0,11.6,6,6,0,06:41 AM,08:11 PM,07:16 AM,08:27 PM,17,26,26,24,17,6,66,0.0,1015,27,10,236,12
2008-08-31,26,19,0.0,11.6,6,6,0,07:53 AM,08:34 PM,07:17 AM,08:25 PM,19,26,26,24,11,15,77,0.0,1015,26,10,147,8
2008-09-01,25,20,0.0,11.6,6,6,3,09:01 AM,08:56 PM,07:18 AM,08:24 PM,19,26,26,24,15,11,79,1.9,1018,25,10,154,10
2008-09-02,26,20,0.0,11.6,6,6,10,10:08 AM,09:18 PM,07:19 AM,08:22 PM,20,26,26,24,16,14,81,0.0,1015,26,10,229,12
2008-09-03,26,21,0.0,11.6,6,6,18,11:14 AM,09:42 PM,07:20 AM,08:20 PM,21,26,26,24,17,13,82,0.0,1010,26,10,205,13
2008-09-04,27,21,0.0,11.6,6,6,25,12:19 PM,10:09 PM,07:21 AM,08:19 PM,20,26,26,24,14,9,77,0.0,1008,27,10,141,10
2008-09-05,27,20,0.0,11.6,6,6,33,01:24 PM,10:41 PM,07:22 AM,08:17 PM,18,26,26,24,20,7,67,0.0,1007,27,10,207,13
2008-09-06,25,20,0.0,11.6,6,6,40,02:26 PM,11:19 PM,07:23 AM,08:15 PM,16,25,25,23,20,26,64,1.0,1010,25,9,254,13
2008-09-07,23,18,0.0,11.6,6,6,48,03:25 PM,No moonset,07:24 AM,08:14 PM,16,21,22,21,18,7,72,0.3,1015,23,10,99,13
2008-09-08,24,17,0.0,11.6,6,6,55,04:17 PM,12:03 AM,07:25 AM,08:12 PM,17,22,23,22,13,4,74,0.0,1017,24,10,118,9
2008-09-09,26,20,0.0,11.6,6,6,63,05:02 PM,12:56 AM,07:26 AM,08:10 PM,17,24,24,23,26,24,70,0.7,1016,26,10,81,17
2008-09-10,27,22,0.0,11.6,6,6,70,05:41 PM,01:55 AM,07:27 AM,08:09 PM,18,26,26,24,26,8,67,0.0,1014,27,10,56,18
2008-09-11,27,22,0.0,11.6,6,6,78,06:13 PM,02:59 AM,07:28 AM,08:07 PM,19,26,26,25,14,9,72,0.0,1010,27,10,236,11
2008-09-12,23,19,0.0,11.6,6,6,86,06:40 PM,04:05 AM,07:29 AM,08:05 PM,15,21,22,21,12,37,69,1.9,1013,23,10,211,9
2008-09-13,22,15,0.0,11.6,5,5,93,07:05 PM,05:13 AM,07:30 AM,08:04 PM,10,20,20,20,15,16,55,0.0,1016,22,10,227,12
2008-09-14,24,15,0.0,11.6,5,5,100,07:28 PM,06:21 AM,07:31 AM,08:02 PM,10,20,20,20,16,9,55,0.0,1017,24,10,243,11
2008-09-15,24,16,0.0,11.6,5,5,100,07:51 PM,07:30 AM,07:32 AM,08:00 PM,12,21,22,21,13,3,59,0.0,1016,24,10,214,10
2008-09-16,22,17,0.0,10.2,4,4,84,08:14 PM,08:41 AM,07:33 AM,07:58 PM,14,20,20,20,12,45,72,0.0,1015,22,10,118,8
2008-09-17,24,19,0.0,10.2,6,6,77,08:41 PM,09:54 AM,07:34 AM,07:57 PM,18,21,22,21,12,48,82,0.2,1016,24,9,150,9
2008-09-18,24,18,0.0,11.6,6,6,69,09:12 PM,11:09 AM,07:35 AM,07:55 PM,18,22,23,22,12,21,82,0.0,1018,24,10,206,8
2008-09-19,24,19,0.0,11.6,5,5,62,09:51 PM,12:26 PM,07:36 AM,07:53 PM,17,22,22,22,12,27,75,1.1,1019,24,10,166,9
2008-09-20,23,18,0.0,10.2,6,6,54,10:38 PM,01:42 PM,07:37 AM,07:52 PM,17,21,21,21,15,43,78,0.5,1020,23,10,205,11
2008-09-21,21,19,0.0,7.4,5,5,47,11:37 PM,02:51 PM,07:38 AM,07:50 PM,17,20,20,20,13,70,84,0.7,1015,21,9,98,10
2008-09-22,19,18,0.0,6.0,4,4,39,No moonrise,03:51 PM,07:39 AM,07:48 PM,16,19,19,19,23,82,86,3.9,1012,19,10,78,16
2008-09-23,18,16,0.0,8.8,5,5,31,12:45 AM,04:38 PM,07:40 AM,07:47 PM,12,17,17,17,15,56,71,1.5,1012,18,8,34,11
2008-09-24,21,16,0.0,11.6,5,5,24,01:58 AM,05:17 PM,07:41 AM,07:45 PM,12,18,19,18,15,32,65,0.2,1016,21,10,130,11
2008-09-25,21,15,0.0,11.6,5,5,16,03:13 AM,05:48 PM,07:42 AM,07:43 PM,11,18,18,18,15,23,65,0.0,1021,21,10,237,10
2008-09-26,19,14,0.0,10.2,5,5,9,04:26 AM,06:14 PM,07:43 AM,07:41 PM,11,17,17,17,16,48,68,0.0,1022,19,10,70,11
2008-09-27,20,15,0.0,11.6,5,5,1,05:37 AM,06:37 PM,07:44 AM,07:40 PM,11,18,18,18,25,9,66,0.0,1023,20,10,57,18
2008-09-28,20,15,0.0,11.6,5,5,0,06:45 AM,06:59 PM,07:45 AM,07:38 PM,12,19,19,19,13,9,67,0.0,1023,20,10,146,9
2008-09-29,22,15,0.0,11.6,5,5,0,07:52 AM,07:21 PM,07:46 AM,07:36 PM,12,19,20,19,16,18,66,0.0,1020,22,10,260,10
2008-09-30,21,16,0.0,11.6,5,5,0,08:58 AM,07:45 PM,07:47 AM,07:35 PM,13,19,19,19,14,22,69,0.0,1018,21,10,178,9
2008-10-01,21,15,0.0,11.6,5,5,6,10:03 AM,08:10 PM,07:48 AM,07:33 PM,13,19,19,19,12,6,69,0.0,1016,21,10,275,8
2008-10-02,21,14,0.0,11.6,5,5,13,11:09 AM,08:40 PM,07:49 AM,07:31 PM,14,19,20,19,10,6,72,0.1,1014,21,10,186,6
2008-10-03,20,15,0.0,11.6,4,4,20,12:12 PM,09:16 PM,07:51 AM,07:30 PM,9,17,18,17,16,20,62,3.2,1016,20,10,178,10
2008-10-04,17,10,0.0,11.6,4,4,28,01:13 PM,09:58 PM,07:52 AM,07:28 PM,4,14,14,14,17,14,51,0.0,1023,17,10,233,12
2008-10-05,20,13,0.0,11.6,5,5,35,02:08 PM,10:47 PM,07:53 AM,07:26 PM,9,17,17,17,19,4,58,0.0,1020,20,10,256,13
2008-10-06,22,13,0.0,11.6,5,5,42,02:56 PM,11:43 PM,07:54 AM,07:25 PM,13,19,20,19,14,2,71,0.0,1020,22,10,242,10
2008-10-07,22,15,0.0,11.6,5,5,50,03:37 PM,No moonset,07:55 AM,07:23 PM,15,19,20,19,18,13,75,0.0,1017,22,10,230,13
2008-10-08,19,16,0.0,8.7,4,4,57,04:11 PM,12:44 AM,07:56 AM,07:21 PM,9,18,18,18,16,46,56,0.1,1016,19,10,137,11
2008-10-09,18,15,0.0,10.2,5,5,64,04:40 PM,01:49 AM,07:57 AM,07:20 PM,10,16,16,16,34,41,65,3.1,1023,18,10,71,22
2008-10-10,22,17,0.0,11.6,5,5,71,05:06 PM,02:54 AM,07:58 AM,07:18 PM,13,19,19,19,31,22,69,0.6,1029,22,10,58,20
2008-10-11,22,17,0.0,11.6,5,5,79,05:29 PM,04:01 AM,07:59 AM,07:16 PM,13,19,19,19,29,8,71,0.0,1028,22,10,60,20
2008-10-12,22,19,0.0,10.1,5,5,86,05:52 PM,05:09 AM,08:00 AM,07:15 PM,17,20,20,20,25,62,86,0.5,1027,22,10,71,17
2008-10-13,23,18,0.0,11.1,4,4,93,06:15 PM,06:19 AM,08:01 AM,07:13 PM,18,20,21,20,11,41,89,3.2,1023,23,9,228,7
2008-10-14,23,17,0.0,11.1,5,5,100,06:41 PM,07:32 AM,08:02 AM,07:12 PM,17,20,21,20,12,9,82,0.0,1021,23,10,157,8
2008-10-15,23,17,0.0,11.1,5,5,100,07:11 PM,08:48 AM,08:03 AM,07:10 PM,17,21,21,21,14,6,79,0.0,1021,23,10,198,9
2008-10-16,23,16,0.0,11.1,5,5,85,07:47 PM,10:06 AM,08:04 AM,07:09 PM,16,20,21,20,12,7,75,0.0,1019,23,10,226,8
2008-10-17,20,17,0.0,10.1,4,4,78,08:33 PM,11:26 AM,08:06 AM,07:07 PM,16,19,19,19,13,50,86,0.2,1017,20,8,113,9
2008-10-18,17,16,0.0,5.5,4,4,70,09:30 PM,12:39 PM,08:07 AM,07:05 PM,15,17,17,17,25,78,88,6.4,1018,17,10,68,17
2008-10-19,20,15,0.0,10.1,5,5,63,10:36 PM,01:44 PM,08:08 AM,07:04 PM,14,17,17,17,21,51,83,0.2,1021,20,10,64,14
2008-10-20,22,17,0.0,10.9,5,5,56,11:50 PM,02:36 PM,08:09 AM,07:02 PM,16,19,19,19,11,25,86,0.0,1021,22,10,83,7
2008-10-21,22,16,0.0,10.9,5,5,49,No moonrise,03:18 PM,08:10 AM,07:01 PM,16,19,20,19,8,16,82,0.0,1015,22,10,263,5
