date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2008-07-01,22,17,0.0,14.5,5,5,4,04:17 AM,08:51 PM,06:36 AM,09:56 PM,16,20,20,20,14,18,82,0.2,1015,22,10,261,11
2008-07-02,18,14,0.0,9.5,4,4,0,05:21 AM,09:52 PM,06:36 AM,09:56 PM,14,16,16,16,13,71,88,2.2,1013,18,8,241,9
2008-07-03,18,13,0.0,14.5,5,5,0,06:35 AM,10:40 PM,06:37 AM,09:55 PM,11,15,16,15,22,30,74,0.5,1018,18,10,272,17
2008-07-04,26,14,0.0,14.5,6,6,3,07:56 AM,11:17 PM,06:37 AM,09:55 PM,13,20,21,20,22,19,63,0.0,1015,26,10,168,14
2008-07-05,18,16,0.0,9.5,4,4,10,09:16 AM,11:46 PM,06:38 AM,09:55 PM,15,17,17,17,20,80,89,1.4,1017,18,6,301,13
2008-07-06,18,14,0.0,13.5,5,5,17,10:32 AM,No moonset,06:39 AM,09:54 PM,12,15,16,15,21,68,80,1.0,1016,18,8,303,16
2008-07-07,18,14,0.0,14.5,5,5,25,11:45 AM,12:09 AM,06:39 AM,09:54 PM,11,15,16,15,24,33,72,0.0,1017,18,10,287,18
2008-07-08,20,12,0.0,14.5,5,5,32,12:53 PM,12:30 AM,06:40 AM,09:54 PM,12,16,16,16,15,18,76,0.0,1020,20,10,100,11
2008-07-09,25,15,0.0,14.5,5,5,39,01:59 PM,12:50 AM,06:41 AM,09:53 PM,14,19,20,19,12,7,74,0.0,1018,25,10,160,8
2008-07-10,23,14,0.0,14.5,5,5,47,03:05 PM,01:10 AM,06:41 AM,09:53 PM,15,20,21,20,10,3,74,0.0,1015,23,10,204,7
2008-07-11,17,16,0.0,10.5,4,4,54,04:09 PM,01:31 AM,06:42 AM,09:52 PM,14,16,16,16,18,70,88,0.6,1015,17,9,296,12
2008-07-12,18,14,0.0,14.5,5,5,61,05:14 PM,01:55 AM,06:43 AM,09:52 PM,13,16,16,16,23,49,81,0.3,1016,18,10,300,18
2008-07-13,19,13,0.0,13.5,5,5,68,06:17 PM,02:24 AM,06:44 AM,09:51 PM,12,15,15,15,20,53,78,0.8,1019,19,10,308,15
2008-07-14,20,12,0.0,14.5,5,5,76,07:18 PM,02:59 AM,06:45 AM,09:50 PM,12,16,16,16,15,8,76,0.0,1024,20,10,115,11
2008-07-15,22,12,0.0,14.5,5,5,83,08:12 PM,03:42 AM,06:46 AM,09:50 PM,13,18,19,18,18,0,74,0.0,1028,22,10,50,12
2008-07-16,21,13,0.0,14.5,5,5,90,08:59 PM,04:33 AM,06:46 AM,09:49 PM,14,18,19,18,11,6,79,0.0,1025,21,10,251,8
2008-07-17,20,15,0.0,13.5,5,5,97,09:38 PM,05:32 AM,06:47 AM,09:48 PM,14,18,18,18,13,45,83,0.0,1021,20,10,321,10
2008-07-18,23,13,0.0,14.5,5,5,100,10:09 PM,06:36 AM,06:48 AM,09:48 PM,13,19,20,19,13,10,72,0.0,1019,23,10,132,9
2008-07-19,24,16,0.0,14.5,5,5,88,10:36 PM,07:44 AM,06:49 AM,09:47 PM,15,20,20,20,16,11,72,0.0,1016,24,10,147,11
2008-07-20,18,16,0.0,9.4,4,4,81,10:59 PM,08:51 AM,06:50 AM,09:46 PM,15,17,17,17,13,85,86,0.4,1020,18,9,140,10
2008-07-21,20,13,0.0,14.5,5,5,73,11:20 PM,10:00 AM,06:51 AM,09:45 PM,12,17,17,17,14,26,70,0.0,1024,20,10,147,10
2008-07-22,22,11,0.0,14.5,5,5,66,11:40 PM,11:08 AM,06:52 AM,09:44 PM,10,17,18,17,18,1,65,0.0,1024,22,10,86,13
2008-07-23,31,16,0.0,14.5,6,6,59,No moonrise,12:17 PM,06:53 AM,09:43 PM,13,24,24,23,24,6,53,0.0,1015,31,10,107,13
2008-07-24,22,16,0.0,14.5,5,5,52,12:01 AM,01:29 PM,06:54 AM,09:42 PM,15,19,19,19,20,26,80,0.1,1014,22,10,283,15
2008-07-25,22,16,0.0,14.5,5,5,44,12:23 AM,02:42 PM,06:55 AM,09:41 PM,15,19,21,19,13,38,76,0.2,1013,22,10,153,9
2008-07-26,23,16,0.0,14.5,5,5,37,12:50 AM,04:00 PM,06:56 AM,09:40 PM,16,20,21,20,14,28,78,0.0,1016,23,10,183,10
2008-07-27,25,15,0.0,14.5,5,5,30,01:24 AM,05:18 PM,06:57 AM,09:39 PM,16,20,21,20,12,12,78,0.0,1016,25,10,104,9
2008-07-28,20,16,0.0,13.5,5,5,23,02:07 AM,06:32 PM,06:58 AM,09:38 PM,16,18,18,18,19,37,88,0.6,1015,20,9,312,14
