date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2008-07-01,29,20,0.0,14.4,6,6,4,04:49 AM,08:29 PM,07:03 AM,09:41 PM,16,26,26,25,15,2,59,0.0,1015,29,10,143,9
2008-07-02,32,21,0.0,14.4,7,7,0,05:54 AM,09:33 PM,07:03 AM,09:41 PM,11,28,28,28,19,1,35,0.0,1013,32,10,208,10
2008-07-03,30,21,0.0,14.4,7,7,0,07:06 AM,10:24 PM,07:04 AM,09:40 PM,10,26,26,25,27,1,38,0.0,1013,30,10,301,17
2008-07-04,28,21,0.0,14.4,6,6,3,08:22 AM,11:06 PM,07:04 AM,09:40 PM,13,26,26,25,19,0,50,0.0,1015,28,10,191,12
2008-07-05,31,19,0.0,14.4,7,7,10,09:37 AM,11:41 PM,07:05 AM,09:40 PM,16,28,28,26,17,0,57,0.0,1015,31,10,239,10
2008-07-06,30,22,0.0,14.4,7,7,17,10:48 AM,No moonset,07:05 AM,09:40 PM,15,27,27,26,28,0,52,0.0,1014,30,10,280,18
2008-07-07,31,21,0.0,14.3,7,7,25,11:55 AM,12:09 AM,07:06 AM,09:40 PM,9,25,25,25,24,7,35,0.0,1014,31,10,282,15
2008-07-08,28,21,0.0,14.3,6,6,32,12:58 PM,12:35 AM,07:06 AM,09:39 PM,13,26,26,24,18,6,50,0.0,1015,28,10,174,12
2008-07-09,28,20,0.0,14.3,6,6,39,01:59 PM,12:59 AM,07:07 AM,09:39 PM,19,26,26,25,12,2,73,0.0,1017,28,9,115,8
2008-07-10,29,20,0.0,14.3,6,6,47,02:59 PM,01:24 AM,07:08 AM,09:39 PM,17,27,27,25,13,11,63,0.0,1016,29,10,220,8
2008-07-11,32,22,0.0,14.3,7,7,54,04:00 PM,01:50 AM,07:08 AM,09:38 PM,11,27,27,27,28,0,37,0.0,1014,32,10,293,16
