date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2008-07-01,38,20,0.0,14.4,7,7,4,04:53 AM,08:39 PM,07:07 AM,09:49 PM,6,30,30,30,11,3,28,0.0,1015,38,10,233,8
2008-07-02,36,21,0.0,14.4,7,7,0,05:58 AM,09:42 PM,07:08 AM,09:49 PM,7,28,28,29,16,2,27,0.0,1013,36,10,261,11
2008-07-03,32,18,0.0,14.4,6,6,0,07:11 AM,10:33 PM,07:08 AM,09:49 PM,3,24,24,25,17,2,27,0.0,1015,32,10,340,12
2008-07-04,38,19,0.0,14.4,7,7,3,08:27 AM,11:14 PM,07:09 AM,09:48 PM,5,28,28,29,13,0,25,0.0,1016,38,10,147,8
2008-07-05,36,20,0.0,14.4,7,7,10,09:43 AM,11:48 PM,07:09 AM,09:48 PM,14,30,30,29,12,2,41,0.0,1015,36,10,211,8
2008-07-06,32,21,0.0,14.4,7,7,17,10:54 AM,No moonset,07:10 AM,09:48 PM,9,27,27,27,13,3,37,0.0,1015,32,10,287,9
2008-07-07,34,16,0.0,14.4,6,6,25,12:01 PM,12:16 AM,07:10 AM,09:48 PM,5,25,25,26,12,3,30,0.0,1015,34,10,320,8
2008-07-08,38,19,0.0,14.4,7,7,32,01:05 PM,12:41 AM,07:11 AM,09:47 PM,2,27,27,28,15,6,21,0.0,1016,38,10,151,9
2008-07-09,36,18,0.0,14.4,7,7,39,02:06 PM,01:05 AM,07:11 AM,09:47 PM,10,29,29,29,10,0,35,0.0,1017,36,10,235,7
2008-07-10,36,19,0.0,14.4,7,7,47,03:07 PM,01:30 AM,07:12 AM,09:47 PM,9,28,28,28,11,20,35,0.0,1016,36,10,258,7
2008-07-11,36,20,0.0,14.3,7,7,54,04:08 PM,01:55 AM,07:13 AM,09:46 PM,11,28,28,28,14,0,36,0.0,1015,36,10,310,9
2008-07-12,32,21,0.0,14.3,7,7,61,05:08 PM,02:23 AM,07:13 AM,09:46 PM,9,26,26,26,14,3,39,0.0,1013,32,10,313,10
2008-07-13,36,18,0.0,14.3,7,7,68,06:08 PM,02:56 AM,07:14 AM,09:46 PM,5,26,26,27,13,0,26,0.0,1013,36,10,245,8
2008-07-14,35,17,0.0,14.3,7,7,76,07:06 PM,03:34 AM,07:15 AM,09:45 PM,13,27,27,26,12,15,45,0.0,1018,35,10,202,8
2008-07-15,34,20,0.0,14.3,7,7,83,08:00 PM,04:18 AM,07:15 AM,09:45 PM,15,28,28,27,9,17,51,0.0,1021,34,10,91,6
2008-07-16,34,19,0.0,14.3,7,7,90,08:48 PM,05:10 AM,07:16 AM,09:44 PM,14,28,28,27,7,19,48,0.0,1019,34,10,137,5
2008-07-17,38,19,0.0,14.3,7,7,97,09:29 PM,06:07 AM,07:17 AM,09:43 PM,14,29,29,29,10,4,46,0.0,1014,38,10,113,7
2008-07-18,40,20,0.0,14.3,7,7,100,10:05 PM,07:09 AM,07:18 AM,09:43 PM,14,31,31,30,12,1,42,0.0,1012,40,10,116,8
2008-07-19,39,23,0.0,14.2,7,7,88,10:35 PM,08:12 AM,07:18 AM,09:42 PM,14,31,31,30,14,1,40,0.0,1013,39,10,152,10
2008-07-20,36,20,0.0,14.2,7,7,81,11:03 PM,09:16 AM,07:19 AM,09:42 PM,16,30,30,29,9,1,50,0.0,1016,36,10,251,7
2008-07-21,39,20,0.0,14.2,7,7,73,11:28 PM,10:19 AM,07:20 AM,09:41 PM,13,32,32,32,8,0,39,0.0,1016,39,10,247,5
2008-07-22,40,21,0.0,14.2,8,8,66,11:53 PM,11:23 AM,07:21 AM,09:40 PM,13,32,32,32,8,0,36,0.0,1017,40,10,182,6
