date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2008-07-01,37,20,0.0,14.5,7,7,4,04:15 AM,08:34 PM,06:33 AM,09:42 PM,11,30,30,30,7,4,37,0.1,1015,37,10,122,5
2008-07-02,32,20,0.0,14.5,7,7,0,05:19 AM,09:37 PM,06:33 AM,09:42 PM,10,26,26,26,9,26,42,0.0,1012,32,10,193,6
2008-07-03,23,15,0.0,14.5,5,5,0,06:33 AM,10:26 PM,06:34 AM,09:42 PM,8,19,19,19,23,15,51,0.0,1015,23,10,320,19
2008-07-04,34,13,0.0,14.5,6,6,3,07:53 AM,11:04 PM,06:35 AM,09:41 PM,8,24,24,24,8,5,41,0.0,1016,34,10,159,5
2008-07-05,33,19,0.0,14.5,7,7,10,09:12 AM,11:34 PM,06:35 AM,09:41 PM,12,27,27,26,12,11,43,0.0,1015,33,10,287,9
2008-07-06,26,16,0.0,14.5,6,6,17,10:26 AM,11:59 PM,06:36 AM,09:41 PM,13,21,21,21,18,13,62,0.5,1013,26,10,320,15
2008-07-07,25,13,0.0,14.5,5,5,25,11:37 AM,No moonset,06:36 AM,09:40 PM,8,18,19,18,20,12,54,0.0,1015,25,10,321,16
2008-07-08,30,13,0.0,14.5,6,6,32,12:44 PM,12:21 AM,06:37 AM,09:40 PM,10,22,22,22,11,4,52,0.0,1019,30,10,146,8
2008-07-09,34,17,0.0,14.5,6,6,39,01:49 PM,12:42 AM,06:38 AM,09:40 PM,14,26,26,26,8,19,56,0.1,1018,34,10,66,6
2008-07-10,36,19,0.0,14.5,7,7,47,02:53 PM,01:03 AM,06:39 AM,09:39 PM,10,29,29,28,5,11,38,0.0,1015,36,10,195,4
2008-07-11,33,19,0.0,14.5,7,7,54,03:57 PM,01:26 AM,06:39 AM,09:39 PM,11,27,27,26,13,2,41,0.0,1013,33,10,312,10
2008-07-12,21,15,0.0,13.5,4,4,61,05:00 PM,01:51 AM,06:40 AM,09:38 PM,13,18,18,18,19,35,71,2.9,1014,21,10,321,15
2008-07-13,22,12,0.0,14.5,5,5,68,06:02 PM,02:21 AM,06:41 AM,09:38 PM,8,16,17,16,23,12,58,0.0,1017,22,10,313,18
2008-07-14,27,12,0.0,14.5,5,5,76,07:02 PM,02:57 AM,06:42 AM,09:37 PM,8,20,20,20,12,3,51,0.0,1023,27,10,311,9
2008-07-15,29,14,0.0,14.5,6,6,83,07:56 PM,03:40 AM,06:42 AM,09:36 PM,10,23,23,23,7,3,47,0.0,1026,29,10,273,5
2008-07-16,31,16,0.0,14.5,6,6,90,08:43 PM,04:31 AM,06:43 AM,09:36 PM,11,24,24,24,8,17,48,0.0,1023,31,10,253,5
2008-07-17,29,18,0.0,14.5,6,6,97,09:23 PM,05:30 AM,06:44 AM,09:35 PM,12,23,23,23,18,28,54,0.0,1018,29,10,323,13
2008-07-18,31,16,0.0,14.5,6,6,100,09:56 PM,06:33 AM,06:45 AM,09:34 PM,10,23,23,23,15,2,49,0.0,1017,31,10,309,11
2008-07-19,36,17,0.0,14.5,7,7,88,10:24 PM,07:40 AM,06:46 AM,09:34 PM,12,27,27,27,11,3,41,0.0,1016,36,10,108,7
2008-07-20,35,22,0.0,14.5,7,7,81,10:48 PM,08:46 AM,06:47 AM,09:33 PM,15,29,29,28,12,4,47,0.0,1016,35,10,192,10
2008-07-21,28,16,0.0,14.5,6,6,73,11:11 PM,09:53 AM,06:48 AM,09:32 PM,9,21,21,21,25,4,47,0.0,1020,28,10,309,20
2008-07-22,30,14,0.0,14.5,6,6,66,11:32 PM,11:00 AM,06:48 AM,09:31 PM,4,22,22,22,12,0,35,0.0,1022,30,10,310,9
2008-07-23,36,15,0.0,14.5,7,7,59,11:54 PM,12:07 PM,06:49 AM,09:30 PM,10,27,27,27,10,6,38,0.0,1017,36,10,72,6
2008-07-24,37,20,0.0,14.5,7,7,52,No moonrise,01:18 PM,06:50 AM,09:29 PM,11,29,29,29,11,7,40,0.0,1013,37,10,186,8
2008-07-25,34,19,0.0,14.5,7,7,44,12:18 AM,02:30 PM,06:51 AM,09:28 PM,11,26,26,27,12,16,42,0.0,1012,34,10,314,8
2008-07-26,32,22,0.0,14.5,7,7,37,12:46 AM,03:46 PM,06:52 AM,09:28 PM,12,27,27,27,11,21,41,0.0,1014,32,10,254,8
2008-07-27,35,19,0.0,14.5,7,7,30,01:21 AM,05:02 PM,06:53 AM,09:27 PM,13,28,28,28,10,6,43,0.0,1015,35,10,121,6
2008-07-28,36,21,0.0,14.5,7,7,23,02:05 AM,06:16 PM,06:54 AM,09:26 PM,12,29,29,28,14,4,42,0.0,1014,36,10,209,11
2008-07-29,32,18,0.0,14.5,6,6,15,03:01 AM,07:22 PM,06:55 AM,09:24 PM,14,25,25,25,16,6,53,0.0,1016,32,10,170,12
2008-07-30,34,20,0.0,14.5,7,7,8,04:09 AM,08:15 PM,06:56 AM,09:23 PM,13,28,28,27,16,8,46,0.0,1016,34,10,96,11
2008-07-31,37,20,0.0,14.5,7,7,4,05:26 AM,08:58 PM,06:57 AM,09:22 PM,8,30,30,30,6,6,30,0.0,1016,37,10,139,4
